csv_category,nav_top_menu,nav_column,nav_item_matched,status
Hard Surfacing Electrodes,ARC WELDING,MMA Welding Electrodes,Hard Surfacing,MAPPED
Heat Reflective Clothing,SAFETY & PPE,Welding Protective Clothing,Heat Reflective Clothing,MAPPED
Heavy Duty Welding Benches,WELDING WORKSHOP,Welding Benches & Tables,Heavy Duty Welding Benches,MAPPED
High Pressure Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,High Pressure Regulators,MAPPED
High Strength Steel MIG Wire,MIG WELDING,MIG Welding Wire,Mild Steel MIG Wire,MAPPED
Hollow Bore Drain Test Plugs,PIPE WELDING,Pipe Welding Accessories,Drain Test Plugs,MAPPED
Hose Check Valves - Torch Fitting,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Hose Couplers,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Hose Fittings,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Hose Nuts - Regulator Fitting,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Hose Reels - Oxy-Acetylene/Propane,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Hose Tails - Regulator Fitting,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Inert Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,Inert Gas Regulators,MAPPED
Inflatable Purge Bag Systems,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
IsoJet Stainless Steel Weld Cleaner,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
Jasic Plasma Cutter Spares,PLASMA CUTTING,Plasma Cutting Machines,Jasic Plasma Spares,MAPPED
Katbak Ceramic Backing Strips,WELDING WORKSHOP,Welding Chemicals & Consumables,Weld Backing Ceramics,MAPPED
Kemper Airwatch,FUME EXTRACTION,Kemper Filtration Systems,Kemper Airwatch,MAPPED
Kemper Central Fume/Dust Extraction,FUME EXTRACTION,Kemper Filtration Systems,Kemper Static Filter Units,MAPPED
Kemper Clean Air Systems,FUME EXTRACTION,Kemper Filtration Systems,Kemper Air Purifying,MAPPED
Kemper CleanAirTower,FUME EXTRACTION,Kemper Filtration Systems,Kemper CleanAirTower,MAPPED
Kemper Exhaust Arms & Hoods,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Fans,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Filter Tables,FUME EXTRACTION,Kemper Filtration Systems,Kemper Filter Tables,MAPPED
Kemper Filters,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Fume Extraction Equipment,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,[Parent],MAPPED
Kemper Hi Vacuum Fume Extraction,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Hi-Vacuum Extraction,MAPPED
Kemper Hoses & Nozzles,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Lighting Sets & Start-Stop Sets,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Misc Parts & Accessories,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Mobile Fume Extraction,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Mobile Fume Extraction,MAPPED
Kemper On Torch Fume Extraction,FUME EXTRACTION,On-Torch & Bench Extraction,Kemper On-Torch Extraction,MAPPED
Kemper Spares & Accessories,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,Kemper Spares & Accessories,MAPPED
Kemper Static Filter Units,FUME EXTRACTION,Kemper Filtration Systems,Kemper Static Filter Units,MAPPED
