old_url,depth,matched_category_name,new_url,match_type,match_method,confidence,status,notes,is_cross_linked,consolidation_count
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-control-outlet-pointspanels/bench-wall-mounted-outlet-points/,3,Bench & Wall Mounted Outlet Points,/gas-oxy-fuel/regulators/bench-and-wall-mounted-outlet-points,exact,Leaf slug 'bench-wall-mounted-outlet-points' → CSV 'Bench & Wall Mounted Outlet Points',high,MAPPED,Subcategory override: 'Bench & Wall Mounted Outlet Points' → /gas-oxy-fuel/regulators/bench-and-wall-mounted-outlet-points,,
https://www.weldingandwelder.com/category/welding-fume-extraction/on-torch-fume-extraction-torches-and-spares/wsl-on-torch-fume-extractors/,3,WSL - On Torch Fume Extractors,/safety/fume/wsl-on-torch,exact,Leaf slug 'wsl-on-torch-fume-extractors' → CSV 'WSL - On Torch Fume Extractors',high,MAPPED,Item match: WSL On-Torch Extraction,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-control-outlet-pointspanels/outlet-point-gas-regulators/lgp500-outlet-point-gas-regulators/,4,LGP500 Outlet Point Gas Regulators,/gas-oxy-fuel/regulators/lgp500-outlet-point-gas-regulators,exact,Leaf slug 'lgp500-outlet-point-gas-regulators' → CSV 'LGP500 Outlet Point Gas Regulators',high,MAPPED,Subcategory override: 'LGP500 Outlet Point Gas Regulators' → /gas-oxy-fuel/regulators/lgp500-outlet-point-gas-regulators,,
https://www.weldingandwelder.com/category/welding-consumables/weld-backing-ceramics-tapes/weld-backing-tapes/,3,Weld Backing Tapes,/workshop/pipe/backing-tape/weld-backing-tapes,exact,Leaf slug 'weld-backing-tapes' → CSV 'Weld Backing Tapes',high,MAPPED,Subcategory override: 'Weld Backing Tapes' → /workshop/pipe/backing-tape/weld-backing-tapes,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-cutting-machines/automatic-pipe-cutting-machines/,4,Automatic Pipe Cutting Machines,/workshop/pipe/cutting-machines/automatic-pipe-cutting-machines,exact,Leaf slug 'automatic-pipe-cutting-machines' → CSV 'Automatic Pipe Cutting Machines',high,MAPPED,Subcategory override: 'Automatic Pipe Cutting Machines' → /workshop/pipe/cutting-machines/automatic-pipe-cutting-machines,,
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tig-welding-rods/tig-filler-rods-for-hard-facing/,4,TIG Filler Rods for Hard Facing,/tig-welding/filler-rods/hard-facing,exact,Leaf slug 'tig-filler-rods-for-hard-facing' → CSV 'TIG Filler Rods for Hard Facing',high,MAPPED,Item match: Hard Facing,YES,
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/welding-cable/welding-cable-copper-rubber/,4,Welding Cable (Copper/Rubber),/arc-mma/cable/rubber,exact,Leaf slug 'welding-cable-copper-rubber' → CSV 'Welding Cable (Copper/Rubber)',high,MAPPED,Item match: Welding Cable (Copper/Rubber),,
https://www.weldingandwelder.com/category/welding-equipment/stud-welding-equipment/stud-welder-studs-and-spares/,3,Weld Studs,/arc-mma/accessories/weld-studs,exact,Leaf slug 'stud-welder-studs-and-spares' → CSV 'Weld Studs',high,MAPPED,Subcategory override: 'Weld Studs' → /arc-mma/accessories/weld-studs,,
https://www.weldingandwelder.com/category/welding-equipment/stud-welding-equipment/stud-welder-studs-and-spares/aluminium-cd-weld-studs/,4,Aluminium CD Weld Studs,/arc-mma/stud-welding/aluminium-studs,exact,Leaf slug 'aluminium-cd-weld-studs' → CSV 'Aluminium CD Weld Studs',high,MAPPED,Item match: Weld Studs - Aluminium,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-regulators/,2,Gas Arc Regulators,/gas-oxy-fuel/regulators/gas-arc-regulators,exact,Leaf slug 'gas-regulators' → CSV 'Gas Arc Regulators',high,MAPPED,Subcategory override: 'Gas Arc Regulators' → /gas-oxy-fuel/regulators/gas-arc-regulators,,2
https://www.weldingandwelder.com/category/gas-welding-equipment/header-rails/,2,Gas Control Header Rails,/gas-oxy-fuel/regulators/gas-control-header-rails,exact,Leaf slug 'header-rails' → CSV 'Gas Control Header Rails',high,MAPPED,Subcategory override: 'Gas Control Header Rails' → /gas-oxy-fuel/regulators/gas-control-header-rails,,
https://www.weldingandwelder.com/category/welding-equipment/oxy-acetylene-cutting-welding/cutting-guides-oxy-acet-propane/,3,Cutting Guides Oxy/Acet/Propane,/cutting/guides,exact,Leaf slug 'cutting-guides-oxy-acet-propane' → CSV 'Cutting Guides Oxy/Acet/Propane',high,MAPPED,Item match: Cutting Guides Oxy/Acet/Propane,,
https://www.weldingandwelder.com/category/welding-tools-benches/welding-tools-marking/,2,Welding & Marking Tools,/workshop/tools,exact,Leaf slug 'welding-tools-marking' → CSV 'Welding & Marking Tools',high,MAPPED,Column-level href ([Parent]),,2
https://www.weldingandwelder.com/category/welding-tools-benches/welding-tools-marking/welding-gauges/,3,Welding Gauges,/workshop/tools/gauges,exact,Leaf slug 'welding-gauges' → CSV 'Welding Gauges',high,MAPPED,Item match: Welding Gauges,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-flow-components/gas-economisers-flowmeters/gas-economisers-oxyacetylene/,4,Gas Economisers - Oxy/Acetylene,/gas-oxy-fuel/economisers/gas-economisers-oxy-acetylene,exact,Leaf slug 'gas-economisers-oxyacetylene' → CSV 'Gas Economisers - Oxy/Acetylene',high,MAPPED,Subcategory override: 'Gas Economisers - Oxy/Acetylene' → /gas-oxy-fuel/economisers/gas-economisers-oxy-acetylene,,2
https://www.weldingandwelder.com/category/welding-fume-extraction/,1,Welding Fume Extraction,/safety/fume/kemper-mobile,exact,Leaf slug 'welding-fume-extraction' → CSV 'Welding Fume Extraction',high,MAPPED,Column-level href ([Parent]),,3
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/mma-stick-electrodes/dissimilar-steel-welding-electrodes/,4,Dissimilar Steel Welding Electrodes,/arc-mma/electrodes/dissimilar,exact,Leaf slug 'dissimilar-steel-welding-electrodes' → CSV 'Dissimilar Steel Welding Electrodes',high,MAPPED,Item match: Dissimilar Steel,YES,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/,2,Gas Hose and Regulator Fittings,/gas-oxy-fuel/hoses,exact,Leaf slug 'gas-hose-and-regulator-fittings' → CSV 'Gas Hose and Regulator Fittings',high,MAPPED,Column-level href ([Parent]),,8
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tool-accessories/,2,Air Compressor Hoses & Accessories,/workshop/air-tools/hoses/air-compressor-hoses-and-accessories,exact,Leaf slug 'air-tool-accessories' → CSV 'Air Compressor Hoses & Accessories',high,MAPPED,Subcategory override: 'Air Compressor Hoses & Accessories' → /workshop/air-tools/hoses/air-compressor-hoses-and-accessories,,2
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-compressors/,2,Air Compressors,/workshop/air-tools/air-compressors,exact,Leaf slug 'air-compressors' → CSV 'Air Compressors',high,MAPPED,Subcategory override: 'Air Compressors' → /workshop/air-tools/air-compressors,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-clamps/pdq-pipe-alignment-clamps/,3,PDQ Pipe Alignment Clamps,/workshop/pipe/clamps/pdq,exact,Leaf slug 'pdq-pipe-alignment-clamps' → CSV 'PDQ Pipe Alignment Clamps',high,MAPPED,Item match: PDQ Clamps,,
https://www.weldingandwelder.com/category/gas-welding-equipment/welding-gas-hoses/welding-hose-cutting-hose/gas-arc-gas-welding-hoses/,4,Gas Arc Welding Hoses,/gas-oxy-fuel/hoses,exact,Leaf slug 'gas-arc-gas-welding-hoses' → CSV 'Gas Arc Welding Hoses',high,MAPPED,Column-level href ([Sub-cat]),,8
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/hose-fittings/hose-tails-regulator-fitting/,4,Hose Tails - Regulator Fitting,/gas-oxy-fuel/fittings/hose-tails-regulator-fitting,exact,Leaf slug 'hose-tails-regulator-fitting' → CSV 'Hose Tails - Regulator Fitting',high,MAPPED,Subcategory override: 'Hose Tails - Regulator Fitting' → /gas-oxy-fuel/fittings/hose-tails-regulator-fitting,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/cylinder-fittings/cylinder-extensions-right-or-left-hand/,4,Cylinder Extensions Right or Left Hand,/gas-oxy-fuel/cylinder-fittings/cylinder-extensions-right-or-left-hand,exact,Leaf slug 'cylinder-extensions-right-or-left-hand' → CSV 'Cylinder Extensions Right or Left Hand',high,MAPPED,Subcategory override: 'Cylinder Extensions Right or Left Hand' → /gas-oxy-fuel/cylinder-fittings/cylinder-extensions-right-or-left-hand,,2
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-clamps/pincer-pipe-clamps/,3,Pincer Pipe Clamps,/workshop/pipe/clamps/pincer,exact,Leaf slug 'pincer-pipe-clamps' → CSV 'Pincer Pipe Clamps',high,MAPPED,Item match: Pincer Clamps,,
https://www.weldingandwelder.com/category/welding-fume-extraction/kemper-clean-air-system/,2,Kemper Clean Air Systems,/safety/fume/kemper-air-purifying/kemper-clean-air-systems,exact,Leaf slug 'kemper-clean-air-system' → CSV 'Kemper Clean Air Systems',high,MAPPED,Subcategory override: 'Kemper Clean Air Systems' → /safety/fume/kemper-air-purifying/kemper-clean-air-systems,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-clamps/cage-pipe-clamps/,3,Cage Pipe Clamps,/workshop/pipe/clamps/cage,exact,Leaf slug 'cage-pipe-clamps' → CSV 'Cage Pipe Clamps',high,MAPPED,Item match: Cage Clamps,,
