name,slug,full_path,parent,level
Bymat Weld Cleaning Machines,bymat-weld-cleaning-machines,tig-welding/weld-cleaning/bymat-weld-cleaning-machines,tig-welding/accessories,2
Easykleen Plus & TIG System,easykleen-plus-and-tig-system,tig-welding/weld-cleaning/easykleen-plus-and-tig-system,tig-welding/accessories,2
IsoJet Stainless Steel Weld Cleaner,isojet-stainless-steel-weld-cleaner,tig-welding/weld-cleaning/isojet-stainless-steel-weld-cleaner,tig-welding/accessories,2
Stainless Brighteners & Rust Remover,stainless-brighteners-and-rust-remover,tig-welding/weld-cleaning/stainless-brighteners-and-rust-remover,tig-welding/accessories,2
Stainless Steel Weld Cleaning Equipment,stainless-steel-weld-cleaning-equipment,tig-welding/weld-cleaning/stainless-steel-weld-cleaning-equipment,tig-welding/accessories,2
TIG Wand Rapid,tig-wand-rapid,tig-welding/weld-cleaning/tig-wand-rapid,tig-welding/accessories,2
mepBlitz Elecro Polisher,mepblitz-elecro-polisher,tig-welding/weld-cleaning/mepblitz-elecro-polisher,tig-welding/accessories,2
ARC,arc-mma,arc-mma,,0
Arc/MMA Welding Machines,welders,arc-mma/welders,arc-mma,1
MMA Welding Electrodes,electrodes,arc-mma/electrodes,arc-mma,1
Welding Cable & Connectors,cable,arc-mma/cable,arc-mma,1
Spot & Stud Welding,spot-stud-welding,arc-mma/spot-stud-welding,arc-mma,1
Tecna Pedestal Spot Welding Electrodes,tecna-pedestal-spot-welding-electrodes,machines/spot-welders/electrodes/tecna-pedestal-spot-welding-electrodes,arc-mma/spot-stud-welding,2
Stud Welders - Capacitor Discharge (CD),stud-welders-capacitor-discharge-cd,arc-mma/stud-welding/cd-welders/stud-welders-capacitor-discharge-cd,arc-mma/spot-stud-welding,2
Stud Welding Equipment,stud-welding-equipment,arc-mma/stud-welding/cd-welders/stud-welding-equipment,arc-mma/spot-stud-welding,2
Arc Welding Accessories,accessories,arc-mma/accessories,arc-mma,1
CUTTING,cutting,cutting,,0
Plasma Cutting Machines,plasma,cutting/plasma,cutting,1
Thermal Dynamics Compat Spares,thermal-dynamics-compat-spares,cutting/plasma/thermal-dynamics/thermal-dynamics-compat-spares,cutting/plasma,2
Thermal Dynamics Type PCH-35,thermal-dynamics-type-pch-35,cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-35,cutting/plasma,2
Thermal Dynamics Type PCH-51,thermal-dynamics-type-pch-51,cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-51,cutting/plasma,2
Thermal Dynamics Type PCH-52,thermal-dynamics-type-pch-52,cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-52,cutting/plasma,2
Thermal Dynamics Type PCH-70,thermal-dynamics-type-pch-70,cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-70,cutting/plasma,2
Oxy-Fuel Cutting Machines,machines,cutting/machines,cutting,1
Oxy-Fuel Cutting Nozzles,nozzles,cutting/nozzles,cutting,1
Oxy/Acetylene Cutting Nozzle ANME,oxy-acetylene-cutting-nozzle-anme,cutting/nozzles/anme/oxy-acetylene-cutting-nozzle-anme,cutting/nozzles,2
Gouging Nozzles AGNM,gouging-nozzles-agnm,cutting/nozzles/agnm/gouging-nozzles-agnm,cutting/nozzles,2
Oxy/Propane Cutting Nozzle PNM,oxy-propane-cutting-nozzle-pnm,cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnm,cutting/nozzles,2
Oxy/Propane Cutting Nozzle PNME,oxy-propane-cutting-nozzle-pnme,cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnme,cutting/nozzles,2
Oxy/Propane Cutting Nozzles PNM/PNME,oxy-propane-cutting-nozzles-pnm-pnme,cutting/nozzles/pnm/oxy-propane-cutting-nozzles-pnm-pnme,cutting/nozzles,2
Cutting & Gouging Accessories,accessories,cutting/accessories,cutting,1
WIRE & RODS,wire-rods,wire-rods,,0
Oxy-Fuel & Brazing Rods,rods,gas-oxy-fuel/rods,wire-rods,1
GAS,gas-oxy-fuel,gas-oxy-fuel,,0
Oxy-Fuel Equipment,equipment,gas-oxy-fuel/equipment,gas-oxy-fuel,1
DH Welding Nozzles - Oxy/Acetylene,dh-welding-nozzles-oxy-acetylene,gas-oxy-fuel/nozzles/welding/dh-welding-nozzles-oxy-acetylene,gas-oxy-fuel/equipment,2
HD Welding Nozzles - Oxy/Acetylene,hd-welding-nozzles-oxy-acetylene,gas-oxy-fuel/nozzles/welding/hd-welding-nozzles-oxy-acetylene,gas-oxy-fuel/equipment,2
Welding Nozzles,welding-nozzles,gas-oxy-fuel/nozzles/welding/welding-nozzles,gas-oxy-fuel/equipment,2
Regulators,regulators,gas-oxy-fuel/regulators,gas-oxy-fuel,1
Safety & Accessories,accessories,gas-oxy-fuel/accessories,gas-oxy-fuel,1
Hoses & Fittings,hoses,gas-oxy-fuel/hoses,gas-oxy-fuel,1
Gas Arc High Pressure Gas Hoses,gas-arc-high-pressure-gas-hoses,gas-oxy-fuel/hoses/high-pressure/gas-arc-high-pressure-gas-hoses,gas-oxy-fuel/hoses,2
Gases other than Oxy/Oxy Mixture,gases-other-than-oxy-oxy-mixture,gas-oxy-fuel/hoses/high-pressure/gases-other-than-oxy-oxy-mixture,gas-oxy-fuel/hoses,2
Oxygen High Pressure Flexible Gas Hoses,oxygen-high-pressure-flexible-gas-hoses,gas-oxy-fuel/hoses/high-pressure/oxygen-high-pressure-flexible-gas-hoses,gas-oxy-fuel/hoses,2
Hose Check Valves - Torch Fitting,hose-check-valves-torch-fitting,gas-oxy-fuel/fittings/hose-check-valves-torch-fitting,gas-oxy-fuel/hoses,2
Hose Couplers,hose-couplers,gas-oxy-fuel/fittings/hose-couplers,gas-oxy-fuel/hoses,2
Hose Fittings,hose-fittings,gas-oxy-fuel/fittings/hose-fittings,gas-oxy-fuel/hoses,2
Hose Nuts - Regulator Fitting,hose-nuts-regulator-fitting,gas-oxy-fuel/fittings/hose-nuts-regulator-fitting,gas-oxy-fuel/hoses,2
Hose Tails - Regulator Fitting,hose-tails-regulator-fitting,gas-oxy-fuel/fittings/hose-tails-regulator-fitting,gas-oxy-fuel/hoses,2
Regulator Bull Nose & Nevoc Stem & Nut,regulator-bull-nose-and-nevoc-stem-and-nut,gas-oxy-fuel/fittings/regulator-bull-nose-and-nevoc-stem-and-nut,gas-oxy-fuel/hoses,2
Regulator Stems & Fittings,regulator-stems-and-fittings,gas-oxy-fuel/fittings/regulator-stems-and-fittings,gas-oxy-fuel/hoses,2
Straight Adaptors,straight-adaptors,gas-oxy-fuel/fittings/straight-adaptors,gas-oxy-fuel/hoses,2
Siamese Twin Welding Hoses - 100m Rolls,siamese-twin-welding-hoses-100m-rolls,gas-oxy-fuel/hoses/twin/siamese-twin-welding-hoses-100m-rolls,gas-oxy-fuel/hoses,2
Twin Welding Hoses - Fitted Set,twin-welding-hoses-fitted-set,gas-oxy-fuel/hoses/twin/twin-welding-hoses-fitted-set,gas-oxy-fuel/hoses,2
Storage & Distribution,storage,gas-oxy-fuel/storage,gas-oxy-fuel,1
Cylinder Adaptors,cylinder-adaptors,gas-oxy-fuel/cylinder-fittings/cylinder-adaptors,gas-oxy-fuel/storage,2
Cylinder Connectors,cylinder-connectors,gas-oxy-fuel/cylinder-fittings/cylinder-connectors,gas-oxy-fuel/storage,2
Cylinder Extensions Right or Left Hand,cylinder-extensions-right-or-left-hand,gas-oxy-fuel/cylinder-fittings/cylinder-extensions-right-or-left-hand,gas-oxy-fuel/storage,2
Cylinder Fittings,cylinder-fittings,gas-oxy-fuel/cylinder-fittings/cylinder-fittings,gas-oxy-fuel/storage,2
Twin Outlet Valves,twin-outlet-valves,gas-oxy-fuel/cylinder-fittings/twin-outlet-valves,gas-oxy-fuel/storage,2
Gas Cylinder Trolleys & Handling,gas-cylinder-trolleys-and-handling,gas-oxy-fuel/storage/trolleys/gas-cylinder-trolleys-and-handling,gas-oxy-fuel/storage,2
Gas Cylinder Trolleys - Non UK Made,gas-cylinder-trolleys-non-uk-made,gas-oxy-fuel/storage/trolleys/gas-cylinder-trolleys-non-uk-made,gas-oxy-fuel/storage,2
