ID,SKU,Name,Old Categories,New Categories,Status
5667,7010501,Exact Pipe Bench System Accessories - Exact Pipe Support (7010501),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches > Pipe Bench System Accessories,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5671,7010503,Exact PipeBench Work Table,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches > Pipe Bench System Accessories,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5673,7010504,Exact PipeBench Tool Bag,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches > Pipe Bench System Accessories,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5675,7044828,Exact Charger 100,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5677,Pipe Support 170,Exact Pipe Support for PipeCut 170,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5679,7044829,Lithium Ion Battery for Saw Models 170 - V1000 & P400,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5681,11009-10,Exact Pipe Support for PipeCut 220/220E/280 11009-10,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5683,11191-10,Exact Single Rollers Pipe Support 360 for PipeCut360/360E,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5685,11188-10,Exact Pipe Support Rollers 360 Double for PipeCut360/360E,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5687,11902-00,Exact P400 Single Pipe Support - 11902-00,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5689,11792-10,Exact V1000 Adjustable Pipe Support 11792-10,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5691,7010464,Exact V1000 Pipe Support Set - 3 Pieces with Bag - 7010464,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5692,11761-10,Exact Nylon Site Bag for V1000 and P400,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5694,11903-00,Exact P400 Double Pipe Support - 11903-00,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5696,11581-10,Exact Site Bag for PipeCut 170 / 170E Series,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5697,10973-11,Large Exact Site Bag for 220E-360E Supports,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5698,101E3302,Exact Nylon Site Bag for PipeCut 280E,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Pipe Saw Spares & Roller Supports,PIPE WELDING > Pipe Cutting & Preparation > Pipe Saw Spares & Supports,MAPPED
5699,,Pipe Cutter Hose Set Complete,Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Pipe Cutting Machines (Oxy-Acetylene),PLASMA CUTTING > Oxy-Fuel Cutting Machines > Pipe Cutting Machines (Oxy),MAPPED
5711,W22-230MVT/110,Metabo Angle Grinder W22-230MVT 230mm x 110v DISCONTINUED,Welding Equipment,WELDING MACHINES > Welding Machines,MAPPED
5717,FXGFADPT,Gas Fluxer Adaptor - for Connecting Gas Fluxers,Gas Delivery & Control > Gas Flow Components > Gas Fluxers & Fluxes > Gas Fluxers,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment,MAPPED
5719,RAN07101,GA600 High Pressure Oxygen Gas Manifold Regulator RAN07101,"Gas Delivery & Control > Gas Arc Regulators > High Pressure Gas Regulators > Gas Arc Cylinder Mounted Gas Regulators, Gas Delivery & Control > Gas Arc Regulators > Oxygen Regulators","GAS & OXY-FUEL > Gas Regulators & Delivery, GAS & OXY-FUEL > Gas Regulators & Delivery > Oxygen Regulators",MAPPED
